"AEWC Adv Structures Comp Ct",http://catalog.umaine.edu/content.php?catoid=51&amp;navoid=1066
"Admin Systems Dev Support",http://jobs.umaine.edu/blog/2011/01/28/analyst-programmer-ums/
"Advanced Manufacturing Center",http://www.umaine.edu/amc/
"Animal Veterinary Sciences",http://www.umaine.edu/animlvet/
"Auxiliary Services",http://www.umaine.edu/auxservices/
"CED",http://catalog.umaine.edu/preview_program.php?catoid=47&amp;poid=4060...1
"Center On Aging",http://www.umaine.edu/mainecenteronaging/
"Climate Change Institute",http://climatechange.umaine.edu/
"Cntr for Resrch Sustain Forest",http://forest.umaine.edu/home/research/
"College Success Program",http://www.umaine.edu/csp/
"Collins Center for the Arts",http://www2.umaine.edu/mca/
"Dean of Education",http://umaine.edu/edhd/college-overview/
"Department of Athletics",http://umaine.edu/news/.../umaine-athletics-gauging-fan-interest-in-hockey-trips/
"Division of Student Affairs",http://umaine.edu/studentaffairs/
"Earth Sciences",http://umaine.edu/center/research/earth-sciences/
"Education",http://umaine.edu/edhd/
"English",http://english.umaine.edu/
"Environmental Hlth Safety",http://www.umaine.edu/nrc/career.htm
"Explorations",http://umaine.edu/explorations/
"Forest Products Research Init",http://www.forest.umaine.edu/facstaff/facstaff_pages/lilieholm/index.html
"Gift Processing Department",http://www.umaine.edu/giftprocessing/
"Honors College",http://honors.umaine.edu/
"Molecular Biomedical Science",http://umaine.edu/biomed/
"NSF EPSCor Project",http://www.umaine.edu/epscor/EpscorDir.htm
"New Media",http://newmedia.umaine.edu/
"Police Department",http://umaine.edu/police/
"School of Biology Ecology",http://biology.umaine.edu/
"School of Economics",http://umaine.edu/soe/
"School of Forest Resources",http://forest.umaine.edu/
"School of Policy/Intrntl Affrs",http://www.spia.umaine.edu/
"Sweatt Winter Childcare Center",http://www.library.umaine.edu/theses/pdf/davieskx2006.pdf
"Academic Support Services",http://www.umaine.edu/handbook/acad/academic_support_services.htm
"Admissions",http://www.go.umaine.edu/
"Anthropology",http://www2.umaine.edu/anthropology/
"Art",http://www.umaine.edu/art/
"Bureau of Labor Education",http://dll.umaine.edu/ble/
"Bursar's Office",http://www.umaine.edu/bursar/
"Business Services",http://www.umaine.edu/obbs/
"Canadian American Center",http://umaine.edu/canam/
"Career Center",http://umaine.edu/career/
"Center Community Inclusion",http://ccids.umaine.edu/
"Center Teaching Excellence",http://www.umaine.edu/teaching/
"Chemical Engineering",http://engineering.umaine.edu/academic.../chemical-and-biological-engineering/
"Chemistry",http://umaine.edu/chemistry/majoring/
"Children's Center",http://www.umaine.edu/childrencenter/
"Civil Environmental Eng",http://www.civil.umaine.edu/
"Comm Sciences Disorders",http://www.umaine.edu/comscidis/
"Communication Journalism",http://www.cmj.umaine.edu/
"Computer Science",http://www.cs.umaine.edu/
"Conference Services Div",http://www.umaine.edu/conferences/ceu.htm
"Coop Extension",http://extension.umaine.edu/
"Coop Forestry Research Unit",http://www.umaine.edu/cfru/
"Counseling Center",http://umaine.edu/counseling/
"Cutler Student Health Ctr",http://umaine.edu/parentsfamily/faqs/campus-healthcare/
"Darling Center",http://umaine.edu/clery/ira-c-darling-center-report/
"Dean Eng Science",http://umaine.edu/facultysenate/senate-membership-roster/
"Dean Liberal Arts Science",http://umaine.edu/las/staff/
"Dept of Industrial Coop",http://umaine.edu/dic/
"Development Office",http://umaine.edu/development/
"Div Lifelong Learning",http://dll.umaine.edu/
"Electrical Computer Engin",http://www.ece.umaine.edu/
"Employee Assistance Program",http://www.umaine.edu/eap/
"Environmental Chemistry Lab",http://www.umaine.edu/secrl/
"Equal Opportunity",http://www.umaine.edu/eo/
"Facilities Management",http://www.umaine.edu/ofm/
"Faculty Senate",http://umaine.edu/facultysenate/
"Farms",http://www.umaine.edu/umext/mainenewfarm/
"Financial Management",http://umaine.edu/pubadmin/undergraduate-programs/course-descriptions/
"Folk Life Center",http://umaine.edu/folklife/
"Food Sci Human Nutrition",http://www.foodsciencehumannutrition.umaine.edu/
"Franco American Centre",http://www.umaine.edu/francoamericanstudies/
"Graduate School",http://www.umaine.edu/graduate/
"History",http://umaine.edu/history/
"Hudson Museum",http://www.umaine.edu/hudsonmuseum/
"Human Resources",http://jobs.umaine.edu/
"Hutchinson Center",http://www.hutchinsoncenter.umaine.edu/
"Information Technologies",http://www.umaine.edu/it/
"Institutional Studies",http://www.umaine.edu/ois/
"Intensive English Institute",http://umaine.edu/iei/
"International Programs",http://umaine.edu/international/
"Lab Surface Science Tech",http://umaine.edu/lasst/
"Library",http://library.umaine.edu/
"Margaret Chase Smith Center",http://mcspolicycenter.umaine.edu/
"Mathematics Statistics",http://www.math.umaine.edu/
"Mechanical Engineering",http://umaine.edu/mecheng/
"Military Science",http://umaine.edu/armyrotc/faculty/professor-of-military-science/
"Modern Languages Classics",http://umaine.edu/mlandc/undergraduate...of-arts...modern-languages/mlc/
"Museum of Art",http://umma.umaine.edu/
"National Poetry Foundation",http://newmedia.umaine.edu/feature.php?id=905
"Native American Studies",http://www.umaine.edu/americannativeindianstudies/
"Natl Ctr Geographic Informa",http://engineering.umaine.edu/.../national-center-for-geographic-infomation-and-analysis-maine-ncgia/
"Natl Sci Forestry Agric.",http://www.library.umaine.edu/science/forestry.htm
"Naval ROTC",http://catalog.umaine.edu/preview_program.php?catoid=23&amp;poid=1636...1
"Parking Office",http://umaine.edu/parking/
"Peace Studies Program",http://dll.umaine.edu/peace/
"Philosophy",http://umaine.edu/philosophy/
"Physics Astronomy",http://www.physics.umaine.edu/
"Plant Soil Envirnmntl Sci",http://www.umaine.edu/hr/salaried/cohort/Four/CohortByLastName.pdf
"Political Science",http://umaine.edu/polisci/
"President's Office",http://umaine.edu/president/
"Printing Services",http://www.umaine.edu/printingservices/
"Psychology",http://umaine.edu/psychology/
"Public Administration",http://umaine.edu/pubadmin/
"Purchasing Office",http://umaine.edu/purchasing/forms-and-info-for.../office-furniture-contracts/
"School of Business",http://umaine.edu/business/
"School of Engineering Tech.",http://www.umaine.edu/set/
"School of Marine Sciences",http://www.umaine.edu/marine/
"School of Nursing",http://umaine.edu/nursing/
"School of Performing Arts",http://umaine.edu/spa/
"Sea Grant",http://www.seagrant.umaine.edu/
"Social Work",http://www.umaine.edu/socialwork/
"Sociology",http://umaine.edu/sociology/
"Spatial Inf Science Eng",http://spatial.umaine.edu/
"Sponsored Programs Division",http://www.civil.umaine.edu/files/2009/12/opas-form.doc
"Student Aid",http://umaine.edu/stuaid/
"Student Records",http://www.studentrecords.umaine.edu/
"University Bookstore",http://www.bookstore.umaine.edu/
"VP Academic Affairs",http://umaine.edu/provost/
"VP Research",http://umaine.edu/research/vice-president-for-research/
"Wabanaki Center",http://www.naps.umaine.edu/
"Water Research Institute",http://www.umaine.edu/waterresearch/
"Wildlife Ecology",http://www.wle.umaine.edu/
"Women In Curriculum",http://umaine.edu/wic/
"Women's Resource Center",http://www.wrc.umaine.edu/
"University Relations",http://umaine.edu/relations/
"department",http://www.physics.umaine.edu/
"",http://www.umaine.edu
