"23 Brighton Avenue";"43661700";"-70277843";NULL;"1"
"25 Bedford Street";"43662887";"-70273506";NULL;"1"
"92 Bedford Street";"43661389";"-70275748";NULL;"1"
"94 Bedford Street";"43661348";"-70275887";NULL;"1"
"98 Bedford Street";"43661263";"-70276071";NULL;"1"
"102 Bedford Street";"43661189";"-70276227";NULL;"1"
"106 Bedford Street";"43661104";"-70276395";NULL;"1"
"118 Bedford Street";"43660896";"-70276776";NULL;"1"
"120 Bedford Street";"43660807";"-70276938";NULL;"1"
"126 Bedford Street";"43660637";"-70277301";NULL;"1"
"Bioscience Research Wing";"43662958";"-70276498";NULL;"1"
"Campus Center, Woodbury";"43662677";"-70274142";NULL;"1"
"Community Education Center, Joel and Linda Abromson";"43661607";"-70275064";NULL;"1"
"1 Chamberlain Avenue";"43661182";"-70275440";NULL;"1"
"7 Chamberlain Avenue";"43661102";"-70275625";NULL;"1"
"11 Chamberlain Avenue";"43661017";"-70275794";NULL;"1"
"15 Chamberlain Avenue";"43660950";"-70275945";NULL;"1"
"19 Chamberlain Avenue";"43660846";"-70276149";NULL;"1"
"21 Falmouth Street";"43663623";"-70274833";NULL;"1"
"209 Deering Avenue";"43660430";"-70277055";NULL;"1"
"222 Deering Avenue";"43660579";"-70277895";NULL;"1"
"228 Deering Avenue";"43660749";"-70278110";NULL;"1"
"39 Exeter Street";"43660170";"-70278706";NULL;"1"
"45 Exeter Street";"43660279";"-70278807";NULL;"1"
"47 Exeter Street";"43660375";"-70278878";NULL;"1"
"49/51 Exeter Street";"43660491";"-70279004";NULL;"1"
"55/57 Exeter Street";"43660621";"-70279127";NULL;"1"
"59/61 Exeter Street";"43660746";"-70279231";NULL;"1"
"65 Exeter Street";"43660842";"-70279391";NULL;"1"
"11 Granite Street";"43660187";"-70277992";NULL;"1"
"Health Services";"43663194";"-70274865";NULL;"1"
"Law Building";"43661125";"-70278930";NULL;"1"
"Library, Albert Brenner Glickman Family";"43662592";"-70272438";NULL;"1"
"Luther Bonney Hall";"43662253";"-70276098";NULL;"1"
"Masterton Hall";"43662270";"-70275422";NULL;"1"
"Parking Garage";"43661397";"-70274321";NULL;"1"
"Payson Smith Hall";"43662204";"-70277681";NULL;"1"
"Central Heating Plant";"43663373";"-70274522";NULL;"1"
"Science Building";"43662560";"-70276967";NULL;"1"
"Sullivan Recreation and Fitness Complex";"43663656";"-70275395";NULL;"1"
"The Wishcamper Center";"43662253";"-70273632";NULL;"1"
"Academy Building";"43682178";"-70445177";NULL;"2"
"Admission Office";"43679596";"-70451557";NULL;"2"
"Anderson Hall";"43682086";"-70448388";NULL;"2"
"Art Drawing Classroom";"43682202";"-70445693";NULL;"2"
"Art Gallery";"43679865";"-70447358";NULL;"2"
"Bailey Hall";"43680600";"-70448779";NULL;"2"
"28 Husky Drive";"43681217";"-70452037";NULL;"2"
"7 College Avenue";"43680547";"-70444442";NULL;"2"
"19 College Avenue";"43680295";"-70445304";NULL;"2"
"51 College Avenue";"43679488";"-70448225";NULL;"2"
"Corthell Hall";"43680988";"-70446865";NULL;"2"
"Field House";"43683057";"-70448923";NULL;"2"
"Ice Arena";"43682786";"-70450829";NULL;"2"
"Warren Hill Gymnasium";"43682693";"-70449930";NULL;"2"
"Dickey-Wood Hall";"43684031";"-70448802";NULL;"2"
"John Mitchell Cente";"43681882";"-70451328";NULL;"2"
"McLellan House";"43684935";"-70446533";NULL;"2"
"Philippi Hall";"43683637";"-70447482";NULL;"2"
"Central Heating Plant";"43683808";"-70450806";NULL;"2"
"Presidentâ€™s House";"43679965";"-70447089";NULL;"2"
"Printmaking Studio";"43682060";"-70445605";NULL;"2"
"Robie-Andrews Hall";"43681550";"-70445569";NULL;"2"
"Russell Hall";"43681260";"-70447566";NULL;"2"
"62 School Street";"43681253";"-70444062";NULL;"2"
"128 School Street";"43684147";"-70446045";NULL;"2"
"134 School Street";"43684614";"-70446226";NULL;"2"
"Student Center, Kenneth Brooks";"43682620";"-70447496";NULL;"2"
"Upperclass Hall";"43681094";"-70450843";NULL;"2"
"Upton-Hastings Hall";"43682151";"-70446273";NULL;"2"
"Woodward Hall";"43681590";"-70448304";NULL;"2"
