"College Avenue Lot";44902571;-68673820;resident"Beta Lot";44902546;-68672612;resident"Next to Beta Lot";44903020;-68672652;resident"Steam Plant Lot";44900358;-68673411;resident"Stodder Lot";44897846;-68672905;resident"Next to Carnegie";44897353;-68670496;resident"Next to Merrill";44897159;-68669323;resident"Behind Estabrooke";44896114;-68670192;resident"Near Estabrooke";44895790;-68668831;resident"Aroostook Lots";44894546;-68668553;resident"Lengyl Field Lot";44893645;-68669430;resident"AEWC Lot";44901600;-68664345;resident"Gannett Lot";44903706;-68666187;resident"Cumberland Lot";44903364;-68665532;resident"Androscogin Lot";44903698;-68665104;resident"Knox Hall Lot";44903600;-68664112;resident"Hilltop Lot";44904564;-68660993;resident
"Crossland Lot";44903443;-68673012;faculty
"Corbett Lot";44903536;-68671554;faculty
"Field House Lot";44904255;-68670142;faculty
"Bennett Lot";44903273;-68668198;faculty
"Cutler Lot";44903759;-68667202;faculty
"near Adroscoggin";44903895;-68665125;faculty
"Hilltop Lot";44904771;-68662141;faculty
"Steam Plant Lot";44900157;-68673217;faculty
"Jenness Lot";44902672;-68665413;faculty
"AEWC Lot";44902069;-68664483;faculty
"AEWC Advanced Structures Lot";44901724;-68665773;faculty
"CCA Lot";44899988;-68665473;faculty
"Keyo Public Affairs Lot";44900735;-68661642;faculty
"The Depot Lots";44899346;-68660609;faculty
"Norman Smith Lots";44898546;-68666972;faculty
"Small Animal Research Building Lot";44897745;-68666676;faculty
"next to Hitchner";44897304;-68667152;faculty
"Nutting Hall";44896973;-68666454;faculty
"Merrill Lot";44897923;-68668991;faculty
"Deering Hall Lot";44896218;-68668577;faculty
"Carnegie Lot";44897691;-68671267;faculty
"Libby Hall Lot";44895350;-68666904;faculty
"Edward Bryand Global Sciences Center Lot";44894653;-68666703;faculty
"near Lengyl Field Lot";44893286;-68669357;faculty
"Lengyl Gym Lot";44895054;-68672197;faculty
"Chadbourne / Stodder Lot";44896447;-68672903;faculty
"Phi Kappa Sigma Lot";44894417;-68674041;faculty
"Libby / Fogler Lot";44899193;-68670205;faculty
"Satellite Lot";44905600;-68673180;commuter
"Alfond Lot";44904604;-68672796;commuter
"Football Field Lot";44904043;-68671536;commuter
"Steam Plant Lot";44900204;-68673878;commuter
"Chadbourne Hall Lot";44896433;-68671891;commuter
"Sawyer Environmental Research Center Lot";44894484;-68667980;commuter
"near Libby Hall Lot";44895433;-68666380;commuter
"near Nutting Hall Lot";44897032;-68665872;commuter
"Sebago Lot";44898900;-68664591;commuter
"CCA Lot";44900165;-68663975;commuter
"Student Rec Center Lot";44905288;-68662770;commuter
"Crossland Hall Lot";44903164;-68672766;visitor
"West of Lord Hall Lot";44903164;-68671210;visitor
"South of Lord Hall Lot";44900485;-68670366;visitor
"near Small Animal Research Lot";44897564;-68666540;visitor
"near Maine Bound Lot";44898544;-68666879;visitor
"near Union Lot";44900492;-68667990;visitor
"Chadbourne Lot";44896129;-68672328;visitor
"Lengyl Lot";44894866;-68672137;visitor
"Public Safety";44898049;-68661382;visitor
